,Variable 0,Variable 1,Variable 2,Sujeto,Año
124,0.40154204,-0.37935844,-0.12446327,3077,2
125,0.17933238,-0.6435466,0.13704646,3077,4
126,-0.7626623,0.09678155,1.7602873,3078,0
127,-0.6508981,0.1387388,1.1499319,3078,1
128,-0.6792418,-0.15105616,1.3038242,3078,2
129,0.79043186,1.207986,0.10684936,3079,0
130,1.3709543,-0.38016236,0.5355852,3079,2
131,0.72667074,0.57322013,0.258543,3080,0
132,0.8340131,0.3496105,0.86395234,3080,1
133,0.53770363,-0.604763,1.4384663,3080,2
134,0.26183698,0.7102105,0.62104475,3082,0
135,1.0595106,-0.358259,0.5338404,3082,2
136,1.0571476,0.61028415,0.63679516,3083,0
137,1.1979294,-0.29281595,0.6234708,3083,1
138,1.0353141,-0.38016543,0.68517,3083,2
139,1.2943944,-0.53240424,0.76123554,3083,4
140,1.5576582,1.0183496,-0.108824685,3085,0
141,-1.228578,0.5152298,0.31234503,3086,0
142,-0.3420896,-0.6505146,0.7051971,3086,1
143,-1.2538803,0.61483306,0.2646131,3086,2
144,-1.3783178,0.5194072,0.2206397,3086,4
145,0.11973807,0.04454519,-0.48104098,3087,0
146,0.2237295,-0.3761319,-0.51293147,3088,0
147,0.14195795,-0.4122623,-0.4303345,3088,1
148,0.20528299,-0.42724156,-0.35988963,3088,2
149,-0.049599983,-0.5394587,-0.25770062,3088,4
150,-0.1426388,0.07756385,0.1366224,3089,0
151,-0.22719964,-0.879938,0.20019057,3089,2
152,-0.046153337,-0.17095019,-0.08227515,3089,4
153,-0.2208962,2.407318,0.73154867,3100,0
154,0.7547756,1.2548422,-0.7134407,3101,0
155,0.48066002,0.72769016,1.0519465,3101,2
156,0.49332193,1.5461749,0.103224136,3102,0
157,0.99449193,-0.5489904,0.944875,3102,1
158,1.3877183,1.0565416,0.57483536,3102,2
159,1.0221167,1.4014909,0.66714644,3102,4
160,0.86675113,2.4811823,0.055141233,3104,0
161,-0.6227701,0.19622037,2.089692,3105,0
162,0.24851318,0.23345068,1.8525546,3105,1
163,0.06937993,0.74840105,2.0801442,3105,2
164,0.043997653,0.66812944,2.442179,3105,4
165,-1.0448788,0.1613172,1.2599118,3106,0
166,-0.05220972,1.4552035,1.3916101,3107,0
167,0.4689281,0.45810714,1.7317753,3107,1
168,0.4405284,1.2837685,0.9566755,3107,2
169,-0.40231815,-0.9138057,1.9970139,3107,4
170,-0.7334325,0.6978593,1.5324621,3108,0
171,-0.96867585,0.5496057,1.6668061,3108,1
172,-0.6041637,0.74821615,1.3279617,3108,2
173,-0.36675942,0.8609329,1.3268715,3108,4
174,-0.8403324,0.12318805,0.71916497,3109,0
175,0.41516012,1.2055911,1.3073616,3110,0
176,0.25735295,0.86361957,1.5288246,3110,1
177,0.85145426,-0.72890383,1.8147122,3110,2
178,0.6596059,-0.37179065,1.7789038,3110,4
179,0.08809641,-1.69188,1.3662957,3111,0
180,-0.95476866,0.018738296,1.5012282,3111,1
181,0.69133395,-0.38961643,0.000828024,3111,2
182,0.91076833,1.4338555,0.5583361,3112,0
183,-0.50942487,-0.64218664,0.860435,3113,0
184,0.3435697,1.2068392,1.5358102,3113,1
185,-0.24015474,-0.43111277,0.861529,3113,2
186,-0.13658544,0.70914626,0.7389823,3114,0
187,-0.35814562,0.9586207,0.7470645,3115,0
188,-0.9374749,1.60611,0.21708971,3116,0
189,-0.90584147,1.4749495,0.024771698,3116,1
190,-1.0164169,1.7679124,0.26667976,3116,2
191,-1.089991,1.5512265,-0.08489452,3116,4
192,-0.50499237,1.2360326,0.22863165,3118,0
193,-0.76088846,0.8629331,0.2312407,3118,1
194,-0.75882035,1.0625938,0.39235735,3118,2
195,-0.04100982,1.823957,-0.14698161,3118,4
196,-0.3396859,0.4690393,1.549539,3119,0
197,-0.41667902,0.52504915,1.9246321,3119,1
198,-0.32071698,0.2371037,1.8904029,3119,2
199,-0.103556395,0.5641458,1.4254477,3119,4
200,0.20516548,-0.14484434,1.8821963,3120,0
201,0.13083431,0.4998486,1.4853622,3120,1
202,0.37256372,0.16798188,2.2604935,3120,2
203,0.14605178,-0.39236116,0.23841879,3122,0
204,-0.13810822,-0.18215184,0.0774817,3122,1
205,0.21607614,-0.13509268,0.15074712,3122,2
206,0.18033247,0.4581163,2.0122786,3123,0
207,0.32356906,0.44334626,1.1322042,3123,1
208,-0.406875,0.73864985,1.8458728,3123,2
209,-0.17833601,-0.8861178,0.84281904,3124,0
210,-0.16058707,-0.7736011,0.56245255,3124,1
211,-0.055059098,-0.70436823,1.1058784,3124,2
212,0.2177301,0.85941553,1.2438319,3125,0
213,0.40420523,0.7005135,1.4323568,3125,1
214,0.97678006,-0.23983309,0.96121716,3125,2
215,-0.55537045,0.9511751,-0.3957421,3126,0
216,-0.50367314,1.9993502,-1.2101729,3126,1
217,-0.69977945,-0.4251596,0.23074628,3126,2
218,-0.82091606,1.1987708,-0.17537811,3126,4
219,-0.37839317,-0.069063604,1.5558271,3127,0
